page,title,link,votes,answers,views,tags
2,Why am I unable to make the TD3 algorithm overfit on the task of placing points in 3d space?,https://ai.stackexchange.com/questions/49061/why-am-i-unable-to-make-the-td3-algorithm-overfit-on-the-task-of-placing-points,0,0,27,"reinforcement-learning, deep-rl, overfitting, td3"
2,How to convert intuition into feature vectors for computing similarity/closeness?,https://ai.stackexchange.com/questions/49057/how-to-convert-intuition-into-feature-vectors-for-computing-similarity-closeness,0,1,38,"feature-engineering, similarity, vectors"
2,Plateau in performance of DQN snake AI [closed],https://ai.stackexchange.com/questions/49054/plateau-in-performance-of-dqn-snake-ai,1,1,54,"neural-networks, reinforcement-learning, deep-learning, dqn, proximal-policy-optimization"
2,How to interpret validation loss spikes in YOLO training? Is this a sign of overfitting?,https://ai.stackexchange.com/questions/49052/how-to-interpret-validation-loss-spikes-in-yolo-training-is-this-a-sign-of-over,1,1,46,"machine-learning, overfitting, yolo"
2,"In reinforcement learning, how is exploration efficiency quantitatively measured across environments with different entropy?",https://ai.stackexchange.com/questions/49047/in-reinforcement-learning-how-is-exploration-efficiency-quantitatively-measured,1,1,62,"reinforcement-learning, machine-learning, exploration-strategies"
2,"In DDPG, is it okay for the polyak tau value to be larger than critics learning rate?",https://ai.stackexchange.com/questions/49046/in-ddpg-is-it-okay-for-the-polyak-tau-value-to-be-larger-than-critics-learning,0,0,21,"reinforcement-learning, hyperparameter-optimization, ddpg"
2,How can I detect suspicious customer actions using computer vision?,https://ai.stackexchange.com/questions/49044/how-can-i-detect-suspicious-customer-actions-using-computer-vision,0,0,32,"computer-vision, algorithm-request, anomaly-detection, action-recognition, pose-estimation"
2,How to manage discussion between two persons,https://ai.stackexchange.com/questions/49043/how-to-manage-discussion-between-two-persons,0,1,42,"natural-language-processing, chat-bots, natural-language-generation, c++"
2,What is the magnitude of a gradient jump to be considered an evidence of the exploding/vanishing issue?,https://ai.stackexchange.com/questions/49037/what-is-the-magnitude-of-a-gradient-jump-to-be-considered-an-evidence-of-the-exp,1,1,33,"convolutional-neural-networks, keras, exploding-gradient-problem"
2,Does Azure OpenAI or Amazon Bedrock Store the data sent via API calls?,https://ai.stackexchange.com/questions/49036/does-azure-openai-or-amazon-bedrock-store-the-data-sent-via-api-calls,0,1,22,"large-language-models, open-ai"
2,How can I use structured JSON data from PostgreSQL to populate LightRAG’s Neo4j graph without letting the LLM hallucinate relationships?,https://ai.stackexchange.com/questions/49034/how-can-i-use-structured-json-data-from-postgresql-to-populate-lightrag-s-neo4j,0,0,15,"large-language-models, open-ai, knowledge-graph, knowledge-graph-embeddings"
2,Adaptive Prefix Tuning,https://ai.stackexchange.com/questions/49032/adaptive-prefix-tuning,0,1,26,"terminology, papers, fine-tuning, language-model"
2,What is the step-by-step process used by generative AI when altering image content?,https://ai.stackexchange.com/questions/49029/what-is-the-step-by-step-process-used-by-generative-ai-when-altering-image-conte,1,1,41,"image-generation, generative-ai"
2,How are multi-domain datasets prepared for mid-sized language models (4B–7B) to ensure coherent generalization?,https://ai.stackexchange.com/questions/49026/how-are-multi-domain-datasets-prepared-for-mid-sized-language-models-4b-7b-to,0,0,23,"machine-learning, datasets, training-datasets, domain-adaptation"
2,Recent results on real-time agent problems?,https://ai.stackexchange.com/questions/49023/recent-results-on-real-time-agent-problems,1,0,20,"reinforcement-learning, cognitive-science, real-time"
3,What are the pros and cons of this algorithm for training of an MLP?,https://ai.stackexchange.com/questions/49022/what-are-the-pros-and-cons-of-this-algorithm-for-training-of-an-mlp,0,1,41,"machine-learning, optimization, gradient-descent, multilayer-perceptrons"
3,Are vector distances still relevant if embeddings are created with the same model but different quantization?,https://ai.stackexchange.com/questions/49019/are-vector-distances-still-relevant-if-embeddings-are-created-with-the-same-mode,0,0,16,"large-language-models, word-embedding"
3,What are the privacy and transparency advantages of open-source voice-to-AI tools like Ito compared to closed systems?,https://ai.stackexchange.com/questions/49016/what-are-the-privacy-and-transparency-advantages-of-open-source-voice-to-ai-tool,0,1,33,voice-recognition
3,Could a neural network like this learn?,https://ai.stackexchange.com/questions/49014/could-a-neural-network-like-this-learn,0,1,62,"neural-networks, machine-learning"
3,"If large language models don’t reason symbolically, how can they still follow logical chains in text?",https://ai.stackexchange.com/questions/49010/if-large-language-models-don-t-reason-symbolically-how-can-they-still-follow-lo,2,1,77,"deep-learning, transformer, reasoning"
3,Why are certain image-to-text models giving me weird responses that look like prompts that a human might give?,https://ai.stackexchange.com/questions/49006/why-are-certain-image-to-text-models-giving-me-weird-responses-that-look-like-pr,0,1,58,"computer-vision, python, image-processing"
3,Why not scale down over-parametrised models with a low intrinsic dimension,https://ai.stackexchange.com/questions/49005/why-not-scale-down-over-parametrised-models-with-a-low-intrinsic-dimension,0,1,53,"large-language-models, linear-algebra"
3,Transformer FLOP accounting during forward pass with ISL / OSL,https://ai.stackexchange.com/questions/49003/transformer-flop-accounting-during-forward-pass-with-isl-osl,0,0,68,"transformer, large-language-models"
3,"How to design a DSL for composable, auditable reasoning in symbolic AI?",https://ai.stackexchange.com/questions/49001/how-to-design-a-dsl-for-composable-auditable-reasoning-in-symbolic-ai,0,0,24,"explainable-ai, knowledge-representation, symbolic-ai, reasoning"
3,Preventing GPU memory leak due to a custom neural network layer,https://ai.stackexchange.com/questions/48997/preventing-gpu-memory-leak-due-to-a-custom-neural-network-layer,0,0,14,"deep-learning, convolutional-neural-networks, pytorch, semantic-segmentation, domain-adaptation"
3,Extracting services mentioned in short reports — rules vs ML?,https://ai.stackexchange.com/questions/48995/extracting-services-mentioned-in-short-reports-rules-vs-ml,0,0,42,"machine-learning, natural-language-processing, named-entity-recognition"
3,Looking for a class of neural network for filtering images,https://ai.stackexchange.com/questions/48992/looking-for-a-class-of-neural-network-for-filtering-images,0,0,31,neural-networks
3,"Conceptual comparison of how attention works in (1) Plain RNN, (2) Models incorporating CNN, and (3) Transformers",https://ai.stackexchange.com/questions/48991/conceptual-comparison-of-how-attention-works-in-1-plain-rnn-2-models-incorp,0,0,21,"convolutional-neural-networks, transformer, recurrent-neural-networks, attention"
3,FastAI results not reproducible (image classification),https://ai.stackexchange.com/questions/48990/fastai-results-not-reproducible-image-classification,1,1,30,"computer-vision, image-recognition, pytorch"
3,What is the longest text that is represented in one token?,https://ai.stackexchange.com/questions/48988/what-is-the-longest-text-that-is-represented-in-one-token,0,1,60,"large-language-models, tokenization"
4,"Why function of a neuron need to be in range [-1,1] or [0,1]?",https://ai.stackexchange.com/questions/48981/why-function-of-a-neuron-need-to-be-in-range-1-1-or-0-1,1,1,75,"neural-networks, training, activation-functions"
4,Using Transformers for time-series data with multiple rhythms,https://ai.stackexchange.com/questions/48980/using-transformers-for-time-series-data-with-multiple-rhythms,0,0,30,transformer
4,Has AI definitively beaten humans at synchronous chess or F-Go?,https://ai.stackexchange.com/questions/48977/has-ai-definitively-beaten-humans-at-synchronous-chess-or-f-go,3,2,121,game-ai
4,Why does YOLOv7 export to ONNX produce raw logits instead of normalized confidence scores?,https://ai.stackexchange.com/questions/48970/why-does-yolov7-export-to-onnx-produce-raw-logits-instead-of-normalized-confiden,0,1,36,"pytorch, yolo"
4,After traing a GRU why is the standard deviation of the weight_hn on the secondary diagonal bigger then of the rest of the matrix?,https://ai.stackexchange.com/questions/48968/after-traing-a-gru-why-is-the-standard-deviation-of-the-weight-hn-on-the-seconda,0,0,45,"machine-learning, recurrent-neural-networks, gated-recurrent-unit"
4,How to split joint characters in bitmap image using EmguCV 2.9.0 (C#)?,https://ai.stackexchange.com/questions/48965/how-to-split-joint-characters-in-bitmap-image-using-emgucv-2-9-0-c,0,0,21,opencv
4,Keywords for: 'train ML model with data from one city and then make predictions for another'?,https://ai.stackexchange.com/questions/48964/keywords-for-train-ml-model-with-data-from-one-city-and-then-make-predictions,1,1,98,"machine-learning, generalization"
4,The proof of the existence of an optimal policy,https://ai.stackexchange.com/questions/48963/the-proof-of-the-existence-of-an-optimal-policy,0,0,66,"reinforcement-learning, proofs, bellman-equations, optimal-policy"
4,How do we balance the usage of AI?,https://ai.stackexchange.com/questions/48962/how-do-we-balance-the-usage-of-ai,0,0,61,"social, ethics, human-computer-interaction"
4,Model isn’t learning with 1D CNN,https://ai.stackexchange.com/questions/48961/model-isn-t-learning-with-1d-cnn,0,1,52,"convolutional-neural-networks, training, loss"
4,How to extend LLMs with structured data like a word breakdown dictionary?,https://ai.stackexchange.com/questions/48957/how-to-extend-llms-with-structured-data-like-a-word-breakdown-dictionary,4,1,72,"large-language-models, word-embedding, information-retrieval"
4,How to make sure my AI code correctly uses Google search?,https://ai.stackexchange.com/questions/48955/how-to-make-sure-my-ai-code-correctly-uses-google-search,0,0,37,"python, google"
4,"Using PDDL for high-level task planning in a quadruped: is it practical, and how to architect the stack?",https://ai.stackexchange.com/questions/48954/using-pddl-for-high-level-task-planning-in-a-quadruped-is-it-practical-and-how,0,0,17,"large-language-models, planning, pddl, slam"
4,How are very deep models designed?,https://ai.stackexchange.com/questions/48946/how-are-very-deep-models-designed,-1,1,57,"deep-learning, large-language-models"
4,context loss in a multi-turn conversation at function calling,https://ai.stackexchange.com/questions/48945/context-loss-in-a-multi-turn-conversation-at-function-calling,0,0,45,deepseek
5,The transitivite property of the DB-SCAN algorithm,https://ai.stackexchange.com/questions/48944/the-transitivite-property-of-the-db-scan-algorithm,0,0,30,"unsupervised-learning, clustering"
5,Is this formal approach to verifying AI reasoning consistency methodologically sound?,https://ai.stackexchange.com/questions/48941/is-this-formal-approach-to-verifying-ai-reasoning-consistency-methodologically-s,0,0,72,"machine-learning, algorithm, logic, reasoning, ai-safety"
5,What are the best practices for boosting for vector regression,https://ai.stackexchange.com/questions/48940/what-are-the-best-practices-for-boosting-for-vector-regression,0,0,23,"ensemble-learning, boosting"
5,What would be the impact on AI or humans if we could train 10s of trillion parameter models? [closed],https://ai.stackexchange.com/questions/48938/what-would-be-the-impact-on-ai-or-humans-if-we-could-train-10s-of-trillion-param,0,1,77,"deep-learning, large-language-models, social, hardware"
5,Image Segmentation Labeling Void-type Defects,https://ai.stackexchange.com/questions/48937/image-segmentation-labeling-void-type-defects,0,0,38,"neural-networks, deep-learning, encoder-decoder, semantic-segmentation, fully-convolutional-networks"
5,Are traditional NLP tasks solve well with modern transformer/llm technologies?,https://ai.stackexchange.com/questions/48936/are-traditional-nlp-tasks-solve-well-with-modern-transformer-llm-technologies,1,0,63,"natural-language-processing, transformer, large-language-models"
5,What is the hierarchical reasoning model?,https://ai.stackexchange.com/questions/48931/what-is-the-hierarchical-reasoning-model,0,1,94,"neural-networks, machine-learning"
5,Advantage of large k in training,https://ai.stackexchange.com/questions/48930/advantage-of-large-k-in-training,-1,1,94,"deep-learning, training, matrices"
5,How the number of parameters is calculated if multihead self attention layer is used in a CNN model?,https://ai.stackexchange.com/questions/48927/how-the-number-of-parameters-is-calculated-if-multihead-self-attention-layer-is,0,1,50,"attention, hyper-parameters, matlab"
5,Is GLM(general linear mode) same as reparameterization?,https://ai.stackexchange.com/questions/48920/is-glmgeneral-linear-mode-same-as-reparameterization,2,1,46,"probability, perceptron, reparameterization-trick"
5,Are self defense mechanisms implicit in AI learning?,https://ai.stackexchange.com/questions/48919/are-self-defense-mechanisms-implicit-in-ai-learning,0,2,74,"ethics, self-supervised-learning, decision-theory"
5,neural network for learning the permeter of objects from binary images,https://ai.stackexchange.com/questions/48916/neural-network-for-learning-the-permeter-of-objects-from-binary-images,0,0,24,"neural-networks, convolutional-neural-networks, computer-vision, image-segmentation, u-net"
5,"Why more parameters alone aren’t enough to make AI smarter, according to the Chinchilla study?",https://ai.stackexchange.com/questions/48914/why-more-parameters-alone-aren-t-enough-to-make-ai-smarter-according-to-the-chi,0,0,103,"training, large-language-models, training-datasets"
5,How does the real-time router in GPT 5 differ from the mixture of experts approach GPT 4 uses?,https://ai.stackexchange.com/questions/48913/how-does-the-real-time-router-in-gpt-5-differ-from-the-mixture-of-experts-approa,2,2,111,"transformer, large-language-models, gpt, gpt-4, mixture-of-experts"
5,Upper bound on the number of iterations for policy iteration for small MDP,https://ai.stackexchange.com/questions/48910/upper-bound-on-the-number-of-iterations-for-policy-iteration-for-small-mdp,0,0,17,"math, proofs, policy-iteration"
6,Should we create a forgetting mechanism in NEAT for recurrence relations?,https://ai.stackexchange.com/questions/48909/should-we-create-a-forgetting-mechanism-in-neat-for-recurrence-relations,0,0,19,"neural-networks, machine-learning, recurrent-neural-networks, evolutionary-algorithms, neat"
6,"Is the way Bishop's ""Deep Learning"" include bias in the NN equation correct?",https://ai.stackexchange.com/questions/48906/is-the-way-bishops-deep-learning-include-bias-in-the-nn-equation-correct,0,1,78,"neural-networks, deep-learning, deep-neural-networks"
6,Constrained Optimal Operations Planning,https://ai.stackexchange.com/questions/48905/constrained-optimal-operations-planning,0,0,67,"neural-networks, machine-learning, planning"
6,Seeking methods to improve my probabilistic forecast - Auction spread forecasting,https://ai.stackexchange.com/questions/48887/seeking-methods-to-improve-my-probabilistic-forecast-auction-spread-forecastin,2,0,26,probabilistic-machine-learning
6,Reconciling SWA with Fisher Information,https://ai.stackexchange.com/questions/48885/reconciling-swa-with-fisher-information,1,1,85,"deep-learning, probability-theory, epistemic-uncertainty, fisher-information"
6,Breakout using DeepQ learning fails to converge in a reasonable timeframe,https://ai.stackexchange.com/questions/48879/breakout-using-deepq-learning-fails-to-converge-in-a-reasonable-timeframe,2,1,62,"reinforcement-learning, dqn, atari-games"
6,How do we calculate Gt in GLIE Monte Carlo Control? is it first visit or every visit MC? [closed],https://ai.stackexchange.com/questions/48877/how-do-we-calculate-gt-in-glie-monte-carlo-control-is-it-first-visit-or-every-v,1,0,34,reinforcement-learning
6,Could the zero-point lattice field be a pathway to discovering conscious Intelligence? [closed],https://ai.stackexchange.com/questions/48872/could-the-zero-point-lattice-field-be-a-pathway-to-discovering-conscious-intelli,0,1,85,"ai-design, agi, artificial-consciousness"
6,Why is deskewing so critical for OCR models when CNNs can handle slight rotations in other vision tasks?,https://ai.stackexchange.com/questions/48870/why-is-deskewing-so-critical-for-ocr-models-when-cnns-can-handle-slight-rotation,2,1,55,"convolutional-neural-networks, optical-character-recognition"
6,How can I track whether a unique phrase I give to one AI model appears in another?,https://ai.stackexchange.com/questions/48869/how-can-i-track-whether-a-unique-phrase-i-give-to-one-ai-model-appears-in-anothe,0,0,21,"machine-learning, training, large-language-models"
6,Ollama with a WebUI inside Docke vs the LLM Studio,https://ai.stackexchange.com/questions/48863/ollama-with-a-webui-inside-docke-vs-the-llm-studio,0,1,127,large-language-models
6,"For any given learning task, how to select the width and depth of the neural network?",https://ai.stackexchange.com/questions/48860/for-any-given-learning-task-how-to-select-the-width-and-depth-of-the-neural-net,2,1,107,"neural-networks, machine-learning, regression, hyperparameter-optimization, hyper-parameters"
6,Is it doable to train LLMs locally with 54 novels of a given author?,https://ai.stackexchange.com/questions/48859/is-it-doable-to-train-llms-locally-with-54-novels-of-a-given-author,2,5,270,"machine-learning, large-language-models"
6,What loss function to choose that will assign a higher penalty to false negatives than to false positives for regression task?,https://ai.stackexchange.com/questions/48856/what-loss-function-to-choose-that-will-assign-a-higher-penalty-to-false-negative,0,2,77,"convolutional-neural-networks, objective-functions, regression"
6,Good references to explain why neural networks are able to produce such realistic images,https://ai.stackexchange.com/questions/48849/good-references-to-explain-why-neural-networks-are-able-to-produce-such-realisti,0,1,91,"reference-request, generative-model, image-processing, image-generation, diffusion-models"
7,Why do we expect AI to reason instantly when humans require years of lived experience?,https://ai.stackexchange.com/questions/48846/why-do-we-expect-ai-to-reason-instantly-when-humans-require-years-of-lived-exper,6,7,3k,"machine-learning, ai-design, architecture, reasoning"
7,Is a setting with one RL agent and multiple fixed-policy agents considered MARL?,https://ai.stackexchange.com/questions/48844/is-a-setting-with-one-rl-agent-and-multiple-fixed-policy-agents-considered-marl,2,0,40,"terminology, definitions, multi-agent-rl"
7,How are AI color palette generators trained/created?,https://ai.stackexchange.com/questions/48842/how-are-ai-color-palette-generators-trained-created,2,1,124,generative-model
7,Why do prompts with more context give better responses?,https://ai.stackexchange.com/questions/48834/why-do-prompts-with-more-context-give-better-responses,3,1,94,"large-language-models, prompt-design"
7,How are so many people able to train AIs if this requires immense processing power?,https://ai.stackexchange.com/questions/48833/how-are-so-many-people-able-to-train-ais-if-this-requires-immense-processing-pow,2,5,2k,"training, chat-bots, social, digital-rights"
7,How to annotate overlapping classes for Instance Segmentation,https://ai.stackexchange.com/questions/48832/how-to-annotate-overlapping-classes-for-instance-segmentation,0,1,30,"computer-vision, instance-segmentation"
7,Denoising diffusion model is not denoising,https://ai.stackexchange.com/questions/48830/denoising-diffusion-model-is-not-denoising,0,0,45,"pytorch, diffusion-models"
7,Training a model to estimate the likelihood of an image,https://ai.stackexchange.com/questions/48827/training-a-model-to-estimate-the-likelihood-of-an-image,0,0,46,"image-processing, probability-distribution, diffusion-models, evidence-lower-bound"
7,"Since LLMs are self learning, why do they still fail the strawberry question?",https://ai.stackexchange.com/questions/48823/since-llms-are-self-learning-why-do-they-still-fail-the-strawberry-question,1,1,161,large-language-models
7,Right and left side of human and training a neural network. Mirror?,https://ai.stackexchange.com/questions/48822/right-and-left-side-of-human-and-training-a-neural-network-mirror,0,0,31,"training, transformer, training-datasets"
7,Are we missing a critical aspect of the foundational architecture of AGI?,https://ai.stackexchange.com/questions/48818/are-we-missing-a-critical-aspect-of-the-foundational-architecture-of-agi,2,2,191,"training, ai-design, agi, architecture"
7,How to get insights from stored data with Generative AI?,https://ai.stackexchange.com/questions/48816/how-to-get-insights-from-stored-data-with-generative-ai,0,0,29,generative-model
7,Which machine learning models are best suited for real-time threat detection in a tactical border surveillance decision support system?,https://ai.stackexchange.com/questions/48813/which-machine-learning-models-are-best-suited-for-real-time-threat-detection-in,0,0,29,"machine-learning, anomaly-detection, real-time"
7,What makes XGBoost so competitive?,https://ai.stackexchange.com/questions/48808/what-makes-xgboost-so-competitive,1,0,58,"decision-trees, random-forests, gradient-boosting, structured-data, kaggle"
7,Any updates/alternatives on PIP for Physics-aware plus Learning for Pose estimation?,https://ai.stackexchange.com/questions/48805/any-updates-alternatives-on-pip-for-physics-aware-plus-learning-for-pose-estimat,0,0,21,pose-estimation
8,How do LLM handle inconsistent training data?,https://ai.stackexchange.com/questions/48803/how-do-llm-handle-inconsistent-training-data,0,0,57,"large-language-models, chatgpt, chat-bots"
8,How can I give context to the BLIP model when generating captions?,https://ai.stackexchange.com/questions/48796/how-can-i-give-context-to-the-blip-model-when-generating-captions,0,0,31,"natural-language-processing, encoder-decoder, optical-character-recognition, natural-language-generation"
8,How do you build a neural network that never loses at Tic-Tac-To?,https://ai.stackexchange.com/questions/48795/how-do-you-build-a-neural-network-that-never-loses-at-tic-tac-to,1,1,101,"neural-networks, activation-functions, algorithm, weights, tic-tac-toe"
8,Could I use AI to analyse PDFs for errors based on certain conditions,https://ai.stackexchange.com/questions/48793/could-i-use-ai-to-analyse-pdfs-for-errors-based-on-certain-conditions,4,2,179,ai-basics
8,"If artificial intelligence surpasses human intelligence and begins self-evolving, what should humanity prioritize?",https://ai.stackexchange.com/questions/48788/if-artificial-intelligence-surpasses-human-intelligence-and-begins-self-evolving,1,5,1k,"agi, philosophy, social, superintelligence, singularity"
8,How can I integrate BERT Tokenizer into BLIP model for image captioning?,https://ai.stackexchange.com/questions/48785/how-can-i-integrate-bert-tokenizer-into-blip-model-for-image-captioning,2,0,34,"natural-language-processing, bert, encoder-decoder, tokenization"
8,Would this type of hidden layer be good?,https://ai.stackexchange.com/questions/48784/would-this-type-of-hidden-layer-be-good,0,1,79,"neural-networks, ai-design, hidden-layers"
8,Further fine-tuning a classification LLM,https://ai.stackexchange.com/questions/48783/further-fine-tuning-a-classification-llm,0,0,26,"pytorch, large-language-models, image-processing, online-learning"
8,Resources to get started with RL to make a multi-agent model for a board game,https://ai.stackexchange.com/questions/48782/resources-to-get-started-with-rl-to-make-a-multi-agent-model-for-a-board-game,3,0,87,"reinforcement-learning, game-ai, resource-request, gpu, board-games"
8,How can make an AI that deals with unseen logic operations without coding it?,https://ai.stackexchange.com/questions/48780/how-can-make-an-ai-that-deals-with-unseen-logic-operations-without-coding-it,2,0,95,"neural-networks, ai-design"
8,Does using per-parameter adaptive learning rates (e.g. in Adam) change the direction of the gradient and break steepest descent?,https://ai.stackexchange.com/questions/48777/does-using-per-parameter-adaptive-learning-rates-e-g-in-adam-change-the-direc,1,0,70,"neural-networks, optimization, gradient-descent, adam"
8,what is the difference between loss and cost function?,https://ai.stackexchange.com/questions/48773/what-is-the-difference-between-loss-and-cost-function,0,3,147,"machine-learning, supervised-learning, loss, metric"
8,Ensure Monotonic Output in a Neural Network with Variable-Length Sequence Input,https://ai.stackexchange.com/questions/48772/ensure-monotonic-output-in-a-neural-network-with-variable-length-sequence-input,1,1,133,"neural-networks, pytorch, attention, sequence-modeling, network-design"
8,"How can a symbolic ""traveler equation"" help AI detect signal-carrying works across time?",https://ai.stackexchange.com/questions/48771/how-can-a-symbolic-traveler-equation-help-ai-detect-signal-carrying-works-acro,0,0,49,"natural-language-processing, ethics, knowledge-graph"
8,Neural Network for computing Holograms,https://ai.stackexchange.com/questions/48770/neural-network-for-computing-holograms,0,0,36,"convolutional-neural-networks, recurrent-neural-networks"
9,"Are there complete, open-access resources on the wide array of activation functions in use to date?",https://ai.stackexchange.com/questions/48767/are-there-complete-open-access-resources-on-the-wide-array-of-activation-functi,0,1,73,"neural-networks, machine-learning, reference-request, activation-functions"
9,Universally better activation /loss function or specific-case dependency?,https://ai.stackexchange.com/questions/48765/universally-better-activation-loss-function-or-specific-case-dependency,3,1,104,"neural-networks, objective-functions, activation-functions"
9,AI Consciousness [closed],https://ai.stackexchange.com/questions/48757/ai-consciousness,-1,3,254,"agi, philosophy, artificial-consciousness"
9,How to compute local text orientation and interline distance for curved baselines in ARU-Net (Algorithm S.1)?,https://ai.stackexchange.com/questions/48755/how-to-compute-local-text-orientation-and-interline-distance-for-curved-baseline,0,0,24,"algorithm, geometric-deep-learning, u-net"
9,How do I train neural network to predict face preference?,https://ai.stackexchange.com/questions/48746/how-do-i-train-neural-network-to-predict-face-preference,0,0,44,"neural-networks, deep-learning, training"
9,DQN is not learning in Atari Pong environment and I can't figure out where I'm messing up,https://ai.stackexchange.com/questions/48741/dqn-is-not-learning-in-atari-pong-environment-and-i-cant-figure-out-where-im-m,1,1,98,"reinforcement-learning, deep-learning, python, dqn, pytorch"
9,Optimal Hybrid Search for LLM Reasoning,https://ai.stackexchange.com/questions/48740/optimal-hybrid-search-for-llm-reasoning,1,0,32,"reinforcement-learning, large-language-models, search, reasoning, inverse-rl"
9,Is my complaint classification task even learnable? How can I prove it’s not?,https://ai.stackexchange.com/questions/48737/is-my-complaint-classification-task-even-learnable-how-can-i-prove-it-s-not,0,1,72,"machine-learning, classification, text-classification"
9,Optimal matrix multiplication - impact and applications,https://ai.stackexchange.com/questions/48734/optimal-matrix-multiplication-impact-and-applications,1,0,62,"deep-learning, training, inference, efficiency, matrices"
9,Could MCP servers eventually accompany websites (or web apps) for LLMs to auto discover during web searches?,https://ai.stackexchange.com/questions/48732/could-mcp-servers-eventually-accompany-websites-or-web-apps-for-llms-to-auto-d,0,0,28,large-language-models
9,Understanding Kornia Augmentation Pipeline and which transformations were applied,https://ai.stackexchange.com/questions/48729/understanding-kornia-augmentation-pipeline-and-which-transformations-were-applie,1,0,26,"computer-vision, data-augmentation"
9,Using fine-tuned BERT model to query a code-base,https://ai.stackexchange.com/questions/48728/using-fine-tuned-bert-model-to-query-a-code-base,1,0,34,bert
9,Are there hidden “forces” in LLM embedding space? I observed a consistent semantic refraction effect,https://ai.stackexchange.com/questions/48727/are-there-hidden-forces-in-llm-embedding-space-i-observed-a-consistent-semant,0,0,57,"training, large-language-models, agi, reasoning, prompt-design"
9,RL for the Battleship game,https://ai.stackexchange.com/questions/48723/rl-for-the-battleship-game,1,0,76,"neural-networks, reinforcement-learning, board-games"
9,How to avoid bias with administrative censoring in survival models,https://ai.stackexchange.com/questions/48721/how-to-avoid-bias-with-administrative-censoring-in-survival-models,0,0,45,"machine-learning, training, statistics, survival"
10,Improving Segmentation on Messy image with very minimal labelled data?,https://ai.stackexchange.com/questions/48718/improving-segmentation-on-messy-image-with-very-minimal-labelled-data,0,0,24,"convolutional-neural-networks, computer-vision, transformer, object-recognition, transfer-learning"
10,What is the name of the interpretability method that perturbs individual features of a single datapoint?,https://ai.stackexchange.com/questions/48714/what-is-the-name-of-the-interpretability-method-that-perturbs-individual-feature,2,1,59,"algorithm-request, explainable-ai, black-box"
